,LIBNAME,new
3171,BEVERLY PUBLIC LIBRARY,-5.183861900768506
3172,BILLERICA PUBLIC LIBRARY,-4.85374384482034
3173,BLACKSTONE FREE PUBLIC LIBRARY,-3.529322670363142
3175,BOLTON PUBLIC LIBRARY,-5.029292568801548
3176,BOSTON PUBLIC LIBRARY,-6.675380630132333
3177,JONATHAN BOURNE PUBLIC LIBRARY,-4.965798877741751
3178,SARGENT MEMORIAL LIBRARY,-2.529675042844003
3179,BOXFORD TOWN LIBRARY,-5.305976152945449
3180,BOYLSTON PUBLIC LIBRARY,-6.512198160980375
3181,THAYER PUBLIC LIBRARY,-4.432600440728373
3182,BREWSTER LADIES' LIBRARY ASSOC.,-2.963457691233154
3183,BRIDGEWATER PUBLIC LIBRARY,-11.193035569738994
3184,BRIMFIELD PUBLIC LIBRARY,-6.076144291577802
3185,BROCKTON PUBLIC LIBRARY SYSTEM,-7.409506440819666
3189,BURLINGTON PUBLIC LIBRARY,-4.863721206284231
3190,CAMBRIDGE PUBLIC LIBRARY,-5.034775482476415
3191,CANTON PUBLIC LIBRARY,-5.239785067752754
3192,GLEASON PUBLIC LIBRARY,-4.171546066545286
3193,CARVER PUBLIC LIBRARY,-5.623723181223594
3195,CHARLTON PUBLIC LIBRARY,-5.64530854454217
3196,ELDREDGE PUBLIC LIBRARY,-2.1993270730995302
3197,CHELMSFORD PUBLIC LIBRARY,-3.7600173645156203
3198,CHELSEA PUBLIC LIBRARY,-10.177524764648599
3201,CHICOPEE PUBLIC LIBRARY,-4.97964283376211
3202,CHILMARK FREE PUBLIC LIBRARY,-3.076894153212692
3205,PAUL PRATT MEMORIAL LIBRARY,-3.7866988554630443
3207,CONCORD FREE PUBLIC LIBRARY,-3.9302273802078815
3210,DALTON FREE PUBLIC LIBRARY,-5.669029078609918
3211,PEABODY INSTITUTE LIBRARY,-4.906836236819333
3212,DARTMOUTH PUBLIC LIBRARIES,-3.9276403244425047
3214,TILTON LIBRARY,-4.54419591251842
3215,DENNIS MEMORIAL LIBRARY ASSOC.,2.2762095503917035
3216,DIGHTON PUBLIC LIBRARY,-3.8269128155017826
3217,SIMON FAIRFIELD PUBLIC LIBRARY,-5.9682982326522325
3218,DOVER TOWN LIBRARY,-3.603541498066676
3219,MOSES GREELEY PARKER MEMORIAL LIB.,-5.213200376756664
3220,PEARLE L. CRAWFORD MEMORIAL LIBRARY,-3.722042917292994
3221,DUNSTABLE FREE PUBLIC LIBRARY,-4.532041673811328
3222,DUXBURY FREE LIBRARY,-4.445711525000458
3223,EAST BRIDGEWATER PUBLIC LIBRARY,-6.028168044896202
3225,EAST LONGMEADOW PUBLIC LIBRARY,-4.07561713988191
3226,EASTHAM PUBLIC LIBRARY,-1.897513691841309
3227,EMILY WILLISTON MEMORIAL LIBRARY,-6.862849723991274
3228,"AMES FREE LIBRARY OF EASTON, INC.",-3.7501683409326403
3229,EDGARTOWN FREE PUBLIC LIBRARY,-2.8078662084756725
3233,PARLIN MEMORIAL LIBRARY,-6.073882683767544
3234,MILLICENT LIBRARY,-4.797335568183841
3235,FALL RIVER PUBLIC LIBRARY,-8.811395376004512
3236,FALMOUTH PUBLIC LIBRARY,-4.35845187950319
3237,FITCHBURG PUBLIC LIBRARY,-8.74003843307495
3239,BOYDEN LIBRARY,-5.3668028046487795
3240,FRAMINGHAM PUBLIC LIBRARY,-4.730704083151861
3241,FRANKLIN PUBLIC LIBRARY,-3.7992372260205616
3242,LEVI HEYWOOD MEMORIAL LIBRARY,-6.558830392795657
3246,GLOUCESTER LYCEUM & SAWYER FREE LIB,-5.7256726303745396
3249,GRAFTON PUBLIC LIBRARY,-6.641960350055066
3250,GRANBY FREE PUBLIC LIBRARY,-4.793628845529081
3252,MASON LIBRARY,-2.5909617053147307
3253,GREENFIELD PUBLIC LIBRARY,-4.288952766735243
3260,JOHN CURTIS FREE LIBRARY,-4.792746267679047
3261,HANSON PUBLIC LIBRARY,-4.472743826985814
3263,HARVARD PUBLIC LIBRARY,-3.3155677905704786
3264,BROOKS FREE LIBRARY,-1.937293316006957
3265,HATFIELD PUBLIC LIBRARY,-6.8893176890525
3266,HAVERHILL PUBLIC LIBRARY,-4.260311982494373
3268,HINGHAM PUBLIC LIBRARY,-3.7170382600541965
3270,HOLBROOK PUBLIC LIBRARY,-5.181417305540913
3271,GALE FREE LIBRARY,-4.228516841299109
3273,HOLLISTON PUBLIC LIBRARY,-4.715101176741839
3274,HOLYOKE PUBLIC LIBRARY,-7.237817464905169
3275,BANCROFT MEMORIAL LIBRARY,-5.923239673418072
3276,HOPKINTON PUBLIC LIBRARY,-5.858067637052136
3278,HUDSON PUBLIC LIBRARY,-5.346649982592563
3279,HULL PUBLIC LIBRARY,-4.99580361946731
3282,KINGSTON PUBLIC LIBRARY,-4.312267980535882
3284,THAYER MEMORIAL LIBRARY,-3.3224958712619252
3287,LEE LIBRARY ASSOCIATION,-7.18232842733137
3288,LEICESTER PUBLIC LIBRARY,-7.30531790941684
3289,LENOX LIBRARY ASSOCIATION,-3.5742002449370442
3290,LEOMINSTER PUBLIC LIBRARY,-5.334425088657993
3292,CARY MEMORIAL LIBRARY,-4.015695054310997
3295,REUBEN HOAR LIBRARY,-4.41061732662441
3296,RICHARD SALTER STORRS LIBRARY,-5.501206528827349
3297,SAMUEL S. POLLARD MEMORIAL LIBRARY,-7.9875194887141925
3298,HUBBARD MEMORIAL LIBRARY,-5.18195380526217
3299,LUNENBURG PUBLIC LIBRARY,-4.350188128997298
3300,LYNN PUBLIC LIBRARY,-8.707967752463642
3301,LYNNFIELD PUBLIC LIBRARY,-3.7298877564214328
3302,MALDEN PUBLIC LIBRARY,-6.895709108718283
3303,MANCHESTER-BY-THE-SEA PUB. LIBRARY,-4.284023345948984
3304,MANSFIELD PUBLIC LIBRARY,-6.024234227115166
3305,ABBOT PUBLIC LIBRARY,-4.883543945332691
3306,ELIZABETH TABER MEMORIAL LIBRARY,-3.931903597760135
3307,MARLBOROUGH PUBLIC LIBRARY,-6.255738995743539
3308,VENTRESS MEMORIAL LIBRARY,-4.152740433765454
3310,MATTAPOISETT PUBLIC LIBRARY,-5.108935610028673
3311,MAYNARD PUBLIC LIBRARY,-3.564716000926477
3312,MEDFIELD MEMORIAL LIBRARY,-4.24018788250359
3314,MEDWAY PUBLIC LIBRARY,-6.362480110525517
3316,TAFT PUBLIC LIBRARY,-5.815134832348712
3317,MERRIMAC PUBLIC LIBRARY,-4.346299642112837
3318,NEVINS MEMORIAL LIBRARY,-5.352758341871114
3319,MIDDLEBOROUGH PUBLIC LIBRARY,-5.162080509499758
3321,FLINT PUBLIC LIBRARY,-5.163595425337253
3322,MILFORD TOWN LIBRARY,-5.198463279369758
3323,MILLBURY PUBLIC LIBRARY,-5.777808256684833
3324,MILLIS PUBLIC LIBRARY,-4.544940947626098
3326,MILTON PUBLIC LIBRARY,-5.096508689475457
3328,MONSON FREE LIBRARY & READING ROOM,-5.413006851900406
3329,MONTAGUE PUBLIC LIBRARIES,-4.594304712276305
3332,NAHANT PUBLIC LIBRARY,-7.546991544050123
3333,NANTUCKET ATHENEUM,-1.564773535188169
3335,NEEDHAM FREE PUBLIC LIBRARY,-4.092878945100401
3336,NEW BEDFORD FREE PUBLIC LIBRARY,-7.442898059745235
3340,NEWBURY TOWN LIBRARY,-4.181881205892618
3343,NORFOLK PUBLIC LIBRARY,-4.744540810443613
3344,NORTH ADAMS PUBLIC LIBRARY,-3.625335540409541
3345,STEVENS MEMORIAL LIBRARY,-5.3883430442509175
3346,RICHARDS MEMORIAL LIBRARY,-6.786264177160209
3347,HASTON FREE PUBLIC LIBRARY,-4.313269046114704
3348,FLINT MEMORIAL LIBRARY,-5.434699300983777
3349,FORBES LIBRARY,-3.96107576608663
3350,NORTHBOROUGH FREE LIBRARY,-5.417955666626038
3351,WHITINSVILLE SOCIAL LIBRARY,-6.589618048944434
3352,DICKINSON MEMORIAL LIBRARY,-3.9370873368528416
3353,NORTON PUBLIC LIBRARY,-7.461230389828624
3354,NORWELL PUBLIC LIBRARY,-3.607979987314331
3355,MORRILL MEMORIAL LIBRARY,-4.983196763931351
3356,OAK BLUFFS PUBLIC LIBRARY,-2.3041467464678527
3358,WHEELER MEMORIAL LIBRARY,-5.704990160586448
3359,SNOW LIBRARY,-1.7195915539013378
3362,PALMER PUBLIC LIBRARY,-4.134162919320739
3363,RICHARDS MEMORIAL LIBRARY,-5.1655580084455615
3364,PEABODY INSTITUTE LIBRARY,-6.16260305385105
3366,PEMBROKE PUBLIC LIBRARY,-5.290963686545837
3367,LAWRENCE LIBRARY,-3.485677322180277
3371,BERKSHIRE ATHENAEUM,-6.099112566036576
3373,PLAINVILLE PUBLIC LIBRARY,-3.7852059893415118
3374,PLYMOUTH PUBLIC LIBRARY,-5.635706818250307
3376,PRINCETON PUBLIC LIBRARY,-4.571593174725052
3378,THOMAS CRANE PUBLIC LIBRARY,-2.910164046220139
3380,RAYNHAM PUBLIC LIBRARY,-5.524753551259104
3382,BLANDING FREE PUBLIC LIBRARY,-5.364705013547805
3383,REVERE PUBLIC LIBRARY,-10.069784021467225
3385,JOSEPH H. PLUMB MEMORIAL LIBRARY,-5.05979650242321
3386,ROCKLAND MEMORIAL LIBRARY,-5.834227983468196
3387,ROCKPORT PUBLIC LIBRARY,-2.279907946993374
3389,ROWLEY PUBLIC LIBRARY,-4.065047702223135
3392,RUTLAND FREE PUBLIC LIBRARY,-7.4430347630658575
3393,SALEM PUBLIC LIBRARY,-4.134291114314118
3394,SALISBURY PUBLIC LIBRARY,-5.937279690078659
3396,SANDWICH FREE PUBLIC LIBRARY,-4.436793234518337
3399,SCITUATE TOWN LIBRARY,-4.3204443543408
3404,SHERBORN LIBRARY,-5.604151918847532
3405,HAZEN MEMORIAL LIBRARY,-1.8436970511886428
3406,SHREWSBURY FREE PUBLIC LIBRARY,-5.226137793942864
3408,SOMERSET PUBLIC LIBRARY,-2.008861422576057
3409,SOMERVILLE PUBLIC LIBRARY,-5.896992439058483
3410,SOUTH HADLEY PUBLIC LIBRARY,-4.076843052187627
3411,EDWARDS PUBLIC LIBRARY,-5.703784551325709
3412,SOUTHBOROUGH PUBLIC LIBRARY,-5.137481318711493
3413,JACOB EDWARDS LIBRARY,-5.581299060390529
3414,SOUTHWICK PUBLIC LIBRARY,-5.876992857405434
3415,RICHARD SUGDEN PUBLIC LIBRARY,-5.664433810763648
3416,SPRINGFIELD CITY LIBRARY,-6.797008447386634
3417,CONANT FREE PUBLIC LIBRARY,-5.037947069702639
3419,STONEHAM PUBLIC LIBRARY,-5.933769803092602
3420,STOUGHTON PUBLIC LIBRARY,-5.8259891010105544
3422,JOSHUA HYDE PUBLIC LIBRARY,-4.54082809403621
3423,GOODNOW PUBLIC LIBRARY,-4.169950796607333
3424,SUNDERLAND PUBLIC LIBRARY,-2.7178207793822775
3425,SUTTON FREE PUBLIC LIBRARY,-5.839310512123101
3427,SWANSEA FREE PUBLIC LIBRARY,-5.420726931528958
3428,TAUNTON PUBLIC LIBRARY,-5.421817911306446
3430,TEWKSBURY PUBLIC LIBRARY,-5.5761203487571125
3431,VINEYARD HAVEN PUBLIC LIBRARY,-3.3160697364091987
3433,TOPSFIELD TOWN LIBRARY,-2.339407500725789
3434,TOWNSEND PUBLIC LIBRARY,-4.482610670038058
3435,TRURO PUBLIC LIBRARY,-2.636195305333109
3438,UPTON TOWN LIBRARY,-5.124616007945467
3439,UXBRIDGE FREE PUBLIC LIBRARY,-6.673487426975474
3440,LUCIUS BEEBE MEMORIAL LIBRARY,-4.208285481125341
3443,WALTHAM PUBLIC LIBRARY,-4.288605505747039
3444,YOUNG MEN'S LIBRARY ASSOCIATION,-6.672466538028413
3448,WATERTOWN FREE PUBLIC LIBRARY,-3.858900749182822
3450,CHESTER C. CORBIN PUBLIC LIBRARY,-5.533638206625845
3451,WELLESLEY FREE LIBRARY,-3.7246741070203435
3454,BEAMAN MEMORIAL PUBLIC LIBRARY,-4.686760455184114
3456,MERRIAM-GILBERT PUBLIC LIBRARY,-5.979512456490605
3457,G. A. R. MEMORIAL LIBRARY,-3.7753822468867644
3458,WEST SPRINGFIELD PUBLIC LIBRARY,-4.659133409168338
3460,WEST TISBURY FREE PUBLIC LIBRARY,-2.470699354900169
3461,WESTBOROUGH PUBLIC LIBRARY,-5.641826835682431
3462,WESTFIELD ATHENAEUM,-5.370304507112232
3463,J. V. FLETCHER LIBRARY,-5.334407169214241
3465,FORBUSH MEMORIAL LIBRARY,-5.600121969715553
3466,WESTON PUBLIC LIBRARY,-3.3587967278728676
3469,TUFTS LIBRARY,-6.916300465194878
3471,WHITMAN PUBLIC LIBRARY,-5.271820494626384
3472,WILBRAHAM PUBLIC LIBRARY,-4.718655942857604
3473,MEEKINS PUBLIC LIBRARY,-2.5553603736291177
3474,DAVID & JOYCE MILNE PUBLIC LIBRARY,-3.8333980085023907
3475,WILMINGTON MEMORIAL LIBRARY,-4.528640889370014
3476,BEALS MEMORIAL LIBRARY,-7.267278324607945
3477,WINCHESTER PUBLIC LIBRARY,-3.466692595197905
3479,WINTHROP PUBLIC LIBRARY,-7.019205799379972
3481,WORCESTER PUBLIC LIBRARY,-5.672282094609672
3483,FISKE PUBLIC LIBRARY,-4.986988083428861
3490,OSTERVILLE FREE LIBRARY,-0.9109048053820681
3496,"WEST FALMOUTH LIBRARY, INC.",0.6920712755818663
3497,WOODS HOLE PUBLIC LIBRARY,-3.5781001384889843
3503,LILLY LIBRARY,-6.15052720882341
3508,DENNIS PUBLIC LIBRARY,-2.8764984838035272
3509,YARMOUTH TOWN LIBRARY BOARD,-4.074628694787666
3511,HAMILTON-WENHAM PUBLIC LIBRARY,-2.071693999400975
3512,ALLEGANY COUNTY LIBRARY SYSTEM,-7.6050336462371355
3513,ANNE ARUNDEL COUNTY PUBLIC LIBRARY,-6.363377889359134
3515,BALTIMORE COUNTY PUBLIC LIBRARY,-5.061580055638553
3516,CALVERT LIBRARY,-5.235357638164138
3517,CAROLINE COUNTY PUBLIC LIBRARY,-5.8663100487564925
3518,CARROLL COUNTY PUBLIC LIBRARY,-4.621560101739243
3519,CECIL COUNTY PUBLIC LIBRARY,-5.23552514144591
3520,CHARLES COUNTY PUBLIC LIBRARY,-6.907199564673343
3521,DORCHESTER COUNTY PUBLIC LIBRARY,-9.745698606270732
3522,FREDERICK COUNTY PUBLIC LIBRARIES,-5.556949995046235
3523,RUTH ENLOW LIBRARY OF GARRETT COUNTY,-8.34087518720424
3524,HARFORD COUNTY PUBLIC LIBRARY,-4.939742448810236
3525,HOWARD COUNTY LIBRARY,-3.598803785120617
3526,KENT COUNTY PUBLIC LIBRARY,-7.683291055014633
3527,MONTGOMERY COUNTY PUBLIC LIBRARIES,-5.824737725505298
3528,PRINCE GEORGE'S COUNTY MEMORIAL LIBRARY SYSTE,-5.968847994268931
3530,ST. MARY'S COUNTY LIBRARY,-5.496726312318097
3531,SOMERSET COUNTY LIBRARY,-9.674115337753198
3532,TALBOT COUNTY FREE LIBRARY,-7.28497743709424
3533,WASHINGTON COUNTY FREE LIBRARY,-7.4804199633769
3534,WICOMICO PUBLIC LIBRARY,-7.4575855581776445
3535,WORCESTER COUNTY LIBRARY,-5.682309187661384
3543,AUBURN PUBLIC LIBRARY,-4.357185632135508
3544,LITHGOW PUBLIC LIBRARY,-5.542157160699356
3547,BANGOR PUBLIC LIBRARY,-6.102513845032501
3548,JESUP MEMORIAL LIBRARY,-2.6205575111406882
3549,PATTEN FREE LIBRARY,-3.7182092856028843
3550,BELFAST FREE LIBRARY,-3.809653870543125
3552,MCARTHUR PUBLIC LIBRARY,-3.5448953816512834
3554,BLUE HILL PUBLIC LIBRARY,-1.9234784265191562
3556,BOOTHBAY HARBOR MEMORIAL LIBRARY,-3.4467169757783216
3560,BRIDGTON PUBLIC LIBRARY,-5.5501417804321385
3566,CURTIS MEMORIAL LIBRARY,-4.374757654573262
3571,CALAIS FREE LIBRARY,-5.082990554776287
3572,CAMDEN PUBLIC LIBRARY,0.2653709766681367
3574,THOMAS MEMORIAL LIBRARY,-5.688332445771773
3575,CARIBOU PUBLIC LIBRARY,-7.665324168962644
3579,WITHERLE MEMORIAL LIBRARY,-2.1365109474131723
3587,PRINCE MEMORIAL LIBRARY,-6.727145519196926
3589,SKIDOMPHA PUBLIC LIBRARY,2.010049376180147
3593,ABBOTT MEMORIAL LIBRARY,-8.170028801804413
3594,LUDDEN MEMORIAL LIBRARY,-6.611756599425453
3595,THOMPSON FREE LIBRARY,-5.078895864063935
3598,WILLIAM FOGG PUBLIC LIBRARY,-5.570092679498167
3599,ELLSWORTH PUBLIC LIBRARY,-5.604166991619731
3602,LAWRENCE PUBLIC LIBRARY,-7.3060196208936325
3603,FALMOUTH MEMORIAL LIBRARY,-4.295505965327569
3604,FARMINGTON PUBLIC LIBRARY,-6.098611413511023
3605,FORT FAIRFIELD PUBLIC LIBRARY,-7.167736446135842
3607,FREEPORT COMMUNITY LIBRARY,-4.829269653791194
3609,FRYEBURG PUBLIC LIBRARY,-6.079901698095947
3610,GARDINER PUBLIC LIBRARY,-5.390259853726683
3613,BAXTER MEMORIAL LIBRARY,-6.170213557070255
3615,GRAY PUBLIC LIBRARY,-5.002021003138286
3617,GUILFORD MEMORIAL LIBRARY,-1.9399622505888057
3618,HUBBARD FREE LIBRARY,-6.74039222796963
3619,EDYTHE DYER COMMUNITY LIBRARY,-4.535798079107397
3628,CARY LIBRARY-HOULTON,-5.744860300403528
3633,JAY-NILES MEMORIAL LIBRARY,-5.186225196020916
3635,KENNEBUNK FREE LIBRARY,-4.995588380098841
3636,LOUIS T. GRAVES MEMORIAL LIBRARY,-3.8949036093816427
3638,RICE PUBLIC LIBRARY,-5.419601537400011
3639,LEWISTON PUBLIC LIBRARY,-5.8449768569686364
3642,LINCOLN MEMORIAL LIBRARY,-4.778267259879246
3643,LISBON LIBRARY DEPT,-7.042899206876172
3656,MILLINOCKET MEMORIAL LIBRARY,-6.163418247682702
3660,NORTHEAST HARBOR LIBRARY,-3.388654016734776
3663,NAPLES PUBLIC LIBRARY,-4.958390417451966
3667,NEWPORT PUBLIC LIBRARY,-5.435103777225065
3669,D.A. HURD LIBRARY,-5.31650355085756
3670,NORWAY MEMORIAL LIBRARY,-4.517625270734903
3671,OAKLAND PUBLIC LIBRARY,-7.811805621311097
3672,LIBBY MEMORIAL LIBRARY,-6.268103262791235
3673,OLD TOWN PUBLIC LIBRARY,-2.822259420192791
3674,ORONO PUBLIC LIBRARY,-6.031810642199308
3678,PARIS PUBLIC LIBRARY,-2.4707351114876452
3685,PITTSFIELD PUBLIC LIBRARY,-4.3797278274629505
3686,RICKER MEMORIAL LIBRARY,-7.016407521473015
3687,PORTLAND PUBLIC LIBRARY,-5.487807932145194
3688,MARK AND EMILY TURNER MEMORIAL LIBRARY,-5.064553141588206
3690,RANGELEY PUBLIC LIBRARY,-5.794826837561008
3692,ROCKLAND PUBLIC LIBRARY,-2.8910371815246103
3694,RUMFORD PUBLIC LIBRARY,-6.114956415344813
3695,DYER LIBRARY,-4.641655963497286
3696,JACKSON MEMORIAL LIBRARY,-3.335134101129319
3697,GOODALL MEMORIAL LIBRARY,-6.239417474810312
3698,SPRINGVALE PUBLIC LIBRARY,-7.59382162356213
3700,SCARBOROUGH PUBLIC LIBRARY,-5.614862008522984
3706,SKOWHEGAN PUBLIC LIBRARY,-7.241246453088717
3708,SOUTH BERWICK PUBLIC LIBRARY,-7.977210515137904
3710,SOUTH PORTLAND PUBLIC LIBRARY,-6.207177087573201
3711,SOUTHWEST HARBOR PUBLIC LIBRARY,-1.6313923219957027
3717,THOMASTON PUBLIC LIBRARY,-0.9203336896477567
3718,TOPSHAM PUBLIC LIBRARY,-4.806260155863877
3722,DOROTHY W QUIMBY LIBRARY,-3.9612073493368767
3726,WALDOBORO PUBLIC LIBRARY,-4.095246778068323
3729,WATERVILLE PUBLIC LIBRARY,-6.315689938736881
3731,WELLS PUBLIC LIBRARY,-5.040531075448007
3733,WALKER MEMORIAL LIBRARY,-5.90575735086998
3735,WILTON FREE PUBLIC LIBRARY,-5.0215627467419255
3736,WINDHAM PUBLIC LIBRARY,-6.618736277096048
3737,WINSLOW PUBLIC LIBRARY,-6.527123164404484
3740,CHARLES M. BAILEY PUBLIC LIBRARY,-5.3840063337360355
3741,WISCASSET PUBLIC LIBRARY,-5.3894852865355665
3743,MERRILL MEMORIAL LIBRARY,-5.835617645324511
3744,YORK PUBLIC LIBRARY,-4.63745688337315
3804,ALVAH N. BELDING MEMORIAL LIBRARY,-6.162556328986318
3805,ANN ARBOR DISTRICT LIBRARY,-2.8232969529084153
3806,ARMADA FREE PUBLIC LIBRARY,-6.45565722050441
3808,AUBURN HILLS PUBLIC LIBRARY,-4.811062440674283
3809,AUGUSTA-ROSS TOWNSHIP DISTRICT LIBRARY,-8.538079866743008
3810,BACON MEMORIAL DISTRICT LIBRARY,-5.2375277349911435
3811,BAD AXE AREA DISTRICT LIBRARY,-5.189075377158193
3812,BALDWIN PUBLIC LIBRARY,-4.192624524404019
3813,BARRYTON PUBLIC LIBRARY,-6.956195093441199
3814,BAY COUNTY LIBRARY SYSTEM,-4.97654251800887
3815,BAYLISS PUBLIC LIBRARY,-7.161456025884001
3819,BRIGGS PUBLIC LIBRARY,-5.260424683617519
3820,BENTON HARBOR PUBLIC LIBRARY,-6.7136104982115485
3823,BERKLEY PUBLIC LIBRARY,-3.260498162463126
3824,BERRIEN SPRINGS COMMUNITY LIBRARY,-5.370403713649478
3828,BIG RAPIDS COMMUNITY LIBRARY,-7.8450693824237225
3829,BLAIR MEMORIAL LIBRARY,-5.7097249329100235
3830,BLOOMFIELD TOWNSHIP PUBLIC LIBRARY,-4.579486740249636
3831,BOYNE DISTRICT LIBRARY,-4.818815163513513
3832,BRANCH DISTRICT LIBRARY,-6.6355818889510765
3833,BRANDON TOWNSHIP PUBLIC LIBRARY,-3.6822590711429792
3834,BRIDGEPORT PUBLIC LIBRARY,-6.908192312682464
3835,BRIDGMAN PUBLIC LIBRARY,-4.608174285525914
3836,BRIGHTON DISTRICT LIBRARY,-5.050260888317231
3838,BUCHANAN DISTRICT LIBRARY,-6.013669788734533
3839,BULLARD SANFORD MEMORIAL LIBRARY,-3.380413056317095
3842,CADILLAC-WEXFORD PUBLIC LIBRARY,-6.758152662445889
3843,CALUMET PUBLIC-SCHOOL LIBRARY,-5.8176610741948345
3845,CANTON PUBLIC LIBRARY,-4.504550722145382
3847,CARSON CITY PUBLIC LIBRARY,-6.200354339507522
3848,CASS DISTRICT LIBRARY,-6.903898734431431
3849,CEDAR SPRINGS PUBLIC LIBRARY,-5.574128860534102
3850,CENTER LINE PUBLIC LIBRARY,-5.132505478313487
3851,CENTRAL LAKE DISTRICT LIBRARY,-5.429385966054299
3852,CHARLES A. RANSOM DISTRICT LIBRARY,-4.87059742265454
3853,CHARLEVOIX PUBLIC LIBRARY,-4.368239122264013
3854,CHARLOTTE COMMUNITY LIBRARY,-2.013530372087852
3856,CHEBOYGAN AREA PUBLIC LIBRARY,-3.2344901478496175
3857,CHESANING PUBLIC LIBRARY,-7.5584330027316415
3858,CLINTON TOWNSHIP PUBLIC LIBRARY,-5.819693154446797
3859,COLEMAN AREA LIBRARY,-8.038595547308173
3860,COLOMA PUBLIC LIBRARY,-7.3475163855235595
3861,COLON TOWNSHIP LIBRARY,-6.493416260308813
3863,COMSTOCK TOWNSHIP LIBRARY,-5.911983396541295
3864,CONSTANTINE TOWNSHIP LIBRARY,-4.971446176831289
3865,COOPERSVILLE AREA DISTRICT LIBRARY,-5.357901356891991
3866,CRAWFORD COUNTY LIBRARY,-3.824177126819587
3867,CROMAINE DISTRICT LIBRARY,-4.604187871949356
3869,CRYSTAL FALLS DISTRICT COMMUNITY LIBRARY,-6.147607076545974
3870,DEARBORN PUBLIC LIBRARY,-4.9519632405137655
3872,DELTON DISTRICT LIBRARY,-4.578648906594742
3874,DETROIT PUBLIC LIBRARY,-6.911217531041114
3875,DEXTER DISTRICT LIBRARY,-4.109747708234168
3876,DICKINSON COUNTY LIBRARY,-6.300909354781333
3877,DORR TOWNSHIP LIBRARY,-6.395147626778117
3878,DOWAGIAC DISTRICT LIBRARY,-5.9491826806313615
3880,DRYDEN TOWNSHIP LIBRARY,-5.9524505287884715
3881,WHITE CLOUD COMMUNITY LIBRARY,-5.771696342078542
3882,EASTPOINTE MEMORIAL LIBRARY,-6.284479553871299
3883,EAST LANSING PUBLIC LIBRARY,-5.505538085758946
3884,EATON RAPIDS PUBLIC LIBRARY,-6.348050274827156
3885,EAU CLAIRE DISTRICT LIBRARY,-7.585350282058755
3886,ELK RAPIDS DISTRICT LIBRARY,-6.091454857453575
3888,ELSIE PUBLIC LIBRARY,-6.789079802135199
3889,ESCANABA PUBLIC LIBRARY,-7.143554167864266
3890,EVART PUBLIC LIBRARY,-8.89418761303792
3891,FAIRGROVE DISTRICT LIBRARY,-6.492094749384315
3893,FARMINGTON COMMUNITY LIBRARY,-4.303764939483423
3894,DEWITT PUBLIC LIBRARY,-7.691003097136647
3895,FENNVILLE DISTRICT LIBRARY,-5.93030680517118
3896,FERNDALE PUBLIC LIBRARY,-3.905439235552604
3897,FIFE LAKE PUBLIC LIBRARY,-14.28510957183392
3899,FLINT PUBLIC LIBRARY,-4.559291116868541
3900,FORSYTH TOWNSHIP PUBLIC LIBRARY,-6.072687782531191
3901,FOWLERVILLE DISTRICT LIBRARY,-7.121611722231903
3902,BENZIE SHORES DISTRICT LIBRARY,-5.062197129396709
3904,FRASER PUBLIC LIBRARY,-4.810000155123193
3906,FREMONT AREA DISTRICT LIBRARY,-5.167930500333764
3909,GARDEN CITY PUBLIC LIBRARY,-9.933054835284407
3910,PERE MARQUETTE DISTRICT LIBRARY,-5.3414208916003165
3911,GENESEE DISTRICT LIBRARY,-1.9825173670307878
3912,GEORGETOWN TOWNSHIP PUBLIC LIBRARY,-3.5007264480971
3913,ROSCOMMON AREA DISTRICT LIBRARY,-7.718695049706939
3914,GLADSTONE AREA SCHOOL & PUBLIC LIBRARY,-6.720121806144916
3915,GLADWIN COUNTY DISTRICT LIBRARY,-5.65207256006366
3917,GRACE A. DOW MEMORIAL LIBRARY,-5.285064104909448
3918,GRAND LEDGE AREA DISTRICT LIBRARY,-6.221288579946444
3919,GRAND RAPIDS PUBLIC LIBRARY,-5.950437592957196
3920,GRANT AREA DISTRICT LIBRARY,-5.05605428251475
3921,FLAT RIVER COMMUNITY LIBRARY,-4.023161222330898
3922,GROSSE POINTE PUBLIC LIBRARY,-5.055646436854269
3923,HACKLEY PUBLIC LIBRARY,-5.23648934565448
3924,IONIA COMMUNITY LIBRARY,-5.023005004875682
3925,HAMBURG TOWNSHIP LIBRARY,-6.922119521022182
3926,HAMTRAMCK PUBLIC LIBRARY,-6.340100262935795
3928,HARBOR BEACH AREA DISTRICT LIBRARY,-5.25265811171646
3929,HARPER WOODS PUBLIC LIBRARY,-5.27472046291084
3930,HARRISON COMMUNITY LIBRARY,-6.2953360404077525
3931,HART AREA PUBLIC LIBRARY,-5.140208525094383
3932,HARTFORD PUBLIC LIBRARY,-7.981860976067847
3933,HASTINGS PUBLIC LIBRARY,-4.468994381467359
3934,HAZEL PARK MEMORIAL LIBRARY,-6.309848030560128
3935,HELENA TOWNSHIP PUBLIC LIBRARY,-4.126122401178366
3936,HENIKA DISTRICT LIBRARY,-5.355171344481457
3937,ALMONT DISTRICT LIBRARY,-5.847510228325434
3938,HERRICK DISTRICT LIBRARY,-4.2829272861472045
3939,HESPERIA COMMUNITY LIBRARY,-5.713273647494025
3940,HIGHLAND TOWNSHIP PUBLIC LIBRARY,-4.990593079051726
3941,HOLLY TOWNSHIP LIBRARY,-7.522285436771166
