,LIBNAME,new
186,WARRIOR PUBLIC LIBRARY,-7.432804745114858
187,BIRMINGHAM PUBLIC LIBRARY,-4.630614020147983
189,COLLINSVILLE PUBLIC LIBRARY,-5.744339761169056
190,GERALDINE PUBLIC LIBRARY,-3.241727180006204
191,RAINSVILLE PUBLIC LIBRARY,-7.5011136051879275
193,ATMORE PUBLIC,-5.4674365571627455
194,BREWTON PUBLIC LIBRARY,-3.699918887345812
196,GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,-7.707405594375041
197,ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,-7.019459821964445
198,RAINBOW CITY PUBLIC LIBRARY,-5.911078902982339
199,DEMOPOLIS PUBLIC LIBRARY,-4.782456325661841
201,MARSHALL COUNTY COOPERATIVE LIBRARY,-27.86794149597363
202,ARAB PUBLIC LIBRARY,-7.099579235311598
203,BOAZ PUBLIC LIBRARY,-6.33096151348631
204,GUNTERSVILLE PUBLIC LIBRARY,-3.3113470804851035
205,ALBERTVILLE PUBLIC LIBRARY,-9.888589754901801
206,HARRISON REGIONAL LIBRARY SYSTEM,-9.797984961133833
207,ALABASTER - ALBERT L. SCOTT LIBRARY,-6.078879280209725
208,CALERA PUBLIC LIBRARY,-4.661533169934559
209,COLUMBIANA PUBLIC LIBRARY,-1.5644624438759265
210,HELENA - JANE B. HOLMES PUBLIC LIBRARY,-2.591871720664813
212,MONTEVALLO - PARNELL MEMORIAL LIBRARY,-3.786469852810911
213,PELHAM PUBLIC LIBRARY,-4.148804059631731
215,NORTH SHELBY LIBRARY,-7.019119352233571
220,ST. CLAIR COUNTY LIBRARY,-10.246432082095764
222,MOODY - DORIS STANLEY MEMORIAL LIBRARY,-7.294711064681065
224,PELL CITY PUBLIC LIBRARY,-4.403242824178729
226,LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,-8.863254490239767
227,ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY,-6.6382928326061625
228,JACKSONVILLE PUBLIC LIBRARY,-5.39483577927954
229,PIEDMONT PUBLIC LIBRARY,-3.898497776496139
231,DOTHAN / HOUSTON-LOVE MEMORIAL LIBRARY,-12.066792859976188
234,BRENT - CENTREVILLE PUBLIC LIBRARY,-22.237793107902665
236,CHOCTAW COUNTY PUBLIC LIBRARY,-14.144894318655872
237,CITRONELLE MEMORIAL LIBRARY,-7.5369643585699215
241,GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY,-10.194882960220504
242,HALE COUNTY LIBRARY,-9.553497502761543
243,CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY,-10.733769634145535
244,JACKSON - WHITE SMITH MEMORIAL LIBRARY,-8.268115527029746
248,SCOTTSBORO PUBLIC LIBRARY,-14.165705845566078
249,ONEONTA PUBLIC LIBRARY,-9.056064380595972
250,THOMASVILLE PUBLIC LIBRARY,-1.359125198179227
