,FSCSKEY,LIBNAME_x,Usage,Usage difference,ATTEND-VISITS_Window1,VISIT difference,AUDIO_Window1,BRANLIB_Window1,LOANTO_Window1,TOTCIR_Window1,SALARIES_Window1,BKVOL_Window1,LOCGVT_Window1,BKMOB_Window1,OTHINCM_Window1,OTHPAID_Window1,LOANFM_Window1,REFERENC-REFERENCE_Window1,SUBSCRIP-SUBSCRIPT_Window1,TOTOPEXP-TOTOPEXP1_Window1,LIBRARIAN-LIBRARIA_Window1,TOTEXPCO-TOTEXPCOL_Window1,OBEREG_Window1,KIDCIRCL_Window1,STAFFEXP-TOTEXP_Window1,KIDATTEN-KIDATTEND_Window1,STGVT_Window1,TOTPEMP-TOTSTAFF_Window1,VIDEO_Window1,CENTLIB_Window1,BENEFIT_Window1,TOTINCM_Window1,MASTER_Window1,CAPITAL_Window1,DUPLI-HRS_OPEN_Window1,ELMATEXP_Window1,POPU-POPU_LSA_Window1,OTHOPEXP_Window1,Prediction
2728,KY0019,CARROLL COUNTY PUBLIC LIBRARY DISTRICT,8.85555351725768,-0.8541156615194695,96188.2,-0.8091345923928299,21666.2,0.0,0.0,189489.4,244503.6,31421.6,714873.2,0.0,123638.2,1.8,218.6,6917.0,129.0,782709.0,8.2,104991.4,5.0,46074.0,331237.6,8564.2,99950.0,10.0,10073.4,1.0,86734.0,939213.6,1.0,30365.2,2995.2,14185.2,10876.0,212375.0,-54.115723476262644
2729,KY0020,CASEY COUNTY PUBLIC LIBRARY,3.1974582928677755,-0.5287021488464666,50999.0,1.0371183748700954,19430.2,0.0,565.6,119457.4,204339.4,47467.2,495145.6,1.0,11820.6,0.59,385.8,4086.6,24.8,491178.6,9.24,54897.6,5.0,32971.4,272788.6,2804.2,53002.0,9.830000000000002,6899.2,1.0,68449.2,566686.8,1.0,202760.0,3860.0,4637.4,15951.4,74150.0,-37.1563065697445
2730,KY0021,HOPKINSVILLE-CHRISTIAN COUNTY PUBLIC LIBRARY,1.6751575302202824,0.8863541332001142,124199.0,-0.24954629264325795,26444.2,0.0,83.8,126557.6,204109.0,82936.2,524282.2,0.0,169370.8,5.930000000000001,94.2,10951.2,56.8,625941.2,5.848000000000001,114629.8,5.0,37544.4,263392.6,2213.6,38931.2,11.778,13063.6,1.0,59283.6,732584.2,2.0,67114.6,2745.4,25381.2,74148.8,111735.8,-54.976873640754874
2731,KY0022,CLARK COUNTY PUBLIC LIBRARY,4.079201992018334,-0.7832646130825245,145515.4,-0.8678779015829252,15305.6,0.0,1909.2,356263.0,664713.6,88111.8,2032047.6,0.0,88477.2,10.43,916.4,21761.2,134.2,1693069.2,14.5,221766.4,5.0,135473.4,956922.0,17204.8,82694.8,24.93,14874.0,1.0,292208.4,2203219.6,8.8,32510.2,3521.8,25865.2,35690.6,207980.2,-115.49969537389295
2732,KY0023,CLAY COUNTY PUBLIC LIBRARY,1.5111162129605826,0.9136127800145365,32213.6,-0.17998609283035738,13463.6,0.0,0.0,37047.2,105083.2,33131.4,384032.2,1.0,26259.2,3.2,95.4,4559.0,56.0,337409.2,4.0,61928.8,5.0,7654.4,131146.0,2269.8,22038.4,7.2,6404.0728358209,1.0,26062.8,432329.8,1.0,64488.2,4492.8,3600.0,21360.0,93035.4,-23.070006819699834
2733,KY0024,CLINTON COUNTY PUBLIC LIBRARY,4.278789017146235,-0.1577153656625244,43613.8,-0.24010290320953465,13899.4,0.0,1.8,104826.0,59383.8,24698.8,152041.4,1.0,4943.0,2.6,31.6,5549.2,27.6,163734.4,2.372,18984.6,5.0,31010.2,88523.8,12965.2,13259.6,4.9719999999999995,3971.8,1.0,29140.0,171449.2,0.0,0.0,3432.0,4348.4,10194.2,25804.6,-17.556021583140566
2734,KY0025,CRITTENDEN COUNTY PUBLIC LIBRARY,2.9877970727152148,0.46095443268899283,27646.0,0.07112783042754835,1083.6,0.0,0.0,44430.0,66242.6,29503.6,203110.4,1.0,5781.6,0.0,148.6,4672.8,36.4,209784.8,3.972,40290.2,5.0,11737.6,85449.6,800.4,12995.2,3.972,1639.6,1.0,19207.0,228927.2,0.0,0.0,3111.6,2846.8,9255.6,48863.4,-16.38224495096799
2735,KY0026,CUMBERLAND COUNTY PUBLIC LIBRARY,2.540137231160101,0.3985350968520945,17242.0,16.96406449367823,6658.4,0.0,0.0,33068.4,81252.4,25081.2,269803.6,1.0,4701.4,1.6,389.0,10822.0,34.0,229573.2,5.8,23185.4,5.0,5201.0,116170.2,3063.8,10300.0,7.4,1369.6,1.0,34917.8,284805.0,0.0,10441.6,3133.6,6175.0,6788.8,49994.2,-18.774508792749504
2736,KY0027,DAVIESS COUNTY PUBLIC LIBRARY DISTRICT,6.466871099360245,-0.7906218611791471,635385.2,-0.9779289791452492,33204.8,0.0,4982.2,817114.8,1206217.8,204234.6,3861974.2,0.0,246509.0,26.3,1085.8,309194.2,266.0,3053581.8,18.8,479513.0,5.0,245604.2,1613770.0,29476.2,111342.8,45.1,19670.4,1.0,407552.2,4225481.4,7.0,244938.4,3744.0,163045.4,98166.6,446420.0,-193.54970628484082
2737,KY0028,EDMONSON COUNTY PUBLIC LIBRARY,4.870333919863546,-0.677721284982993,58669.2,-0.8273063208634172,19745.0,0.0,0.0,78536.8,138825.4,28990.0,405819.2,1.0,31691.6,0.9179999999999999,89.8,3022.0,56.6,377743.6,5.6419999999999995,43051.0,5.0,23342.6,161295.8,1510.4,14103.8,6.56,8580.2,1.0,22470.4,454877.0,0.0,0.0,4348.8,6046.2,12048.6,102845.0,-31.413836836347166
